source_pack,category,normalized_path,width,height,frames,notes
high_forest,env/props,env/high_forest/props0.png,288,336,,
high_forest,env/props,env/high_forest/props1.png,336,400,,
high_forest,env/props,env/high_forest/props2.png,400,400,,
high_forest,env/props,env/high_forest/props3.png,400,400,,
high_forest,env/props,env/high_forest/props4.png,400,400,,
high_forest,env/background,env/high_forest/bg0.png,480,272,,
high_forest,env/background,env/high_forest/bg1.png,896,256,,
high_forest,env/tree0,env/high_forest/tree0.png,1344,1200,,
high_forest,env/tree1,env/high_forest/tree1.png,1344,1200,,
high_forest,env/tree2,env/high_forest/tree2.png,1344,1200,,
high_forest,env/tree3,env/high_forest/tree3.png,1344,1200,,
high_forest,env/tree4,env/high_forest/tree4.png,1344,1200,,
dusk_wood,env/tiles,env/dusk_wood/tiles.png,400,400,,
dusk_wood,env/props,env/dusk_wood/props0.png,608,624,,
dusk_wood,env/props,env/dusk_wood/props1.png,400,400,,
dusk_wood,env/props,env/dusk_wood/props2.png,752,768,,
dusk_wood,env/background,env/dusk_wood/bg0.png,336,384,,
dusk_wood,env/background,env/dusk_wood/bg1.png,336,384,,
dusk_wood,env/background,env/dusk_wood/bg2.png,336,384,,
dusk_wood,env/background,env/dusk_wood/bg3.png,336,384,,
lost_glades,env/tiles,env/lost_glades/tiles.png,448,320,,
lost_glades,env/props,env/lost_glades/props0.png,1024,800,,
lost_glades,env/background,env/lost_glades/bg0.png,336,272,,
lost_glades,env/background,env/lost_glades/bg1.png,128,272,,
lost_glades,env/background,env/lost_glades/bg2.png,240,272,,
cemetery,env/tiles,env/cemetery/tiles.png,400,400,,
cemetery,env/props,env/cemetery/props0.png,512,416,,
cemetery,env/background,env/cemetery/bg0.png,512,272,,
fortress,env/tiles,env/fortress/tiles.png,144,208,,
fortress,env/props,env/fortress/props0.png,256,320,,
fortress,env/props,env/fortress/props1.png,560,480,,
fortress,env/background,env/fortress/bg0.png,336,192,,
fortress,env/background,env/fortress/bg1.png,336,272,,
fortress,env/city,env/fortress/city.png,400,400,,recovered from aseprite
prison,env/tiles,env/prison/tiles.png,400,400,,
prison,env/props,env/prison/props0.png,400,400,,
prison,env/background,env/prison/bg0.png,368,272,,
sewers,env/tiles,env/sewers/tiles.png,224,480,,
sewers,env/props,env/sewers/props0.png,400,400,,
sewers,env/props,env/sewers/props1.png,400,400,,
sewers,env/props,env/sewers/props2.png,400,400,,
sewers,env/background,env/sewers/bg0.png,496,272,,
sewers,env/background,env/sewers/bg1.png,272,144,,
purple_bay,env/tiles,env/purple_bay/tiles.png,304,400,,
purple_bay,env/background,env/purple_bay/bg0.png,336,192,,
purple_bay,env/background,env/purple_bay/bg1.png,336,192,,
purple_bay,env/background,env/purple_bay/bg2.png,336,192,,
purple_bay,env/background,env/purple_bay/bg3.png,336,192,,
swamp,env/tiles,env/swamp/tiles.png,608,400,,
swamp,env/tree,env/swamp/tree.png,176,192,,recovered from aseprite
mine,env/tiles,env/mine/tiles.png,400,416,,
mine,env/background,env/mine/bg0.png,528,400,,
mine,env/foreground,env/mine/fg.png,544,336,,
deep_cave,env/tiles,env/deep_cave/tiles.png,400,400,,
deep_cave,env/props,env/deep_cave/props0.png,400,400,,
deep_cave,env/background,env/deep_cave/bg0.png,176,192,,
deep_cave,env/background,env/deep_cave/bg1.png,160,192,,
deep_cave,env/background,env/deep_cave/bg2.png,192,160,,
deadwind,env/tiles,env/deadwind/tiles.png,400,400,,
deadwind,env/props,env/deadwind/props0.png,400,544,,
deadwind,env/background,env/deadwind/bg0.png,336,272,,
deadwind,env/background,env/deadwind/bg1.png,336,272,,
deadwind,env/background,env/deadwind/bg2.png,336,272,,
deadwind,env/bones,env/deadwind/bones.png,400,400,,recovered from aseprite
temple,env/tiles,env/temple/tiles.png,320,288,,
temple,env/props,env/temple/props0.png,400,400,,
temple,env/background,env/temple/bg0.png,400,384,,
temple,env/background,env/temple/bg1.png,192,272,,
monastery,env/tiles,env/monastery/tiles.png,464,320,,
monastery,env/background,env/monastery/bg0.png,336,192,,recovered from aseprite
mansion,env/tiles,env/mansion/tiles.png,400,224,,
mansion,env/props,env/mansion/props0.png,448,480,,
mansion,env/background,env/mansion/bg0.png,192,272,,
